Id_emp,Name,Last_name,birth_date,gender,area,salary,email,type
06-2779852,Stanford,Adamovsky,1996-01-20,female,"Research and Development",125966,Stanford_Ad.H@example.com,HYBRID
88-3447836,Willey,Adamovsky,1990-05-22,female,Training,175447,Willey_Ad.H@example.com,HYBRID
83-7869391,Jeromy,Adamsky,1990-12-14,female,"Research and Development",183975,Jeromy_Ad.R@example.com,REMOTE
54-8539297,Odo,Adamsky,1970-07-08,male,Sales,94142,Odo_Ad.H@example.com,HYBRID
50-4582840,Bay,Adamsson,1984-08-03,male,Support,183973,Bay_Ad.H@example.com,HYBRID
76-8576746,Joseito,Adao,2001-11-23,male,Engineering,160824,Joseito_Ad.R@example.com,REMOTE
46-3532739,Stella,Adao,1987-08-19,male,"Product Management",111568,Stella_Ad.R@example.com,REMOTE
89-9617897,Ronalda,Addams,1980-04-18,male,"Business Development",98234,Ronalda_Ad.R@example.com,REMOTE
18-6128237,Bettina,Addams,1966-10-27,female,Engineering,78452,Bettina_Ad.H@example.com,HYBRID
46-8469222,Danya,Addams,1989-04-05,female,Sales,97816,Danya_Ad.H@example.com,HYBRID
63-5652436,Brinn,Addekin,1983-06-23,male,Accounting,121198,Brinn_Ad.H@example.com,HYBRID
02-2814569,Minor,Addess,1987-03-27,male,"Human Resources",91191,Minor_Ad.H@example.com,HYBRID
27-9666443,Tawnya,Addeycott,1970-09-19,male,Engineering,90679,Tawnya_Ad.R@example.com,REMOTE
97-3619493,Willabella,Addionisio,1977-08-30,female,Services,96040,Willabella_Ad.R@example.com,REMOTE
02-9343607,Kristy,Addionizio,1982-03-08,male,"Human Resources",117701,Kristy_Ad.R@example.com,REMOTE
37-2517888,Burtie,Addis,2002-03-11,female,Legal,151527,Burtie_Ad.H@example.com,HYBRID
71-4323141,Kynthia,Addyman,1974-01-18,male,Accounting,83595,Kynthia_Ad.R@example.com,REMOTE
63-5736612,Madalyn,Adelman,1975-10-26,female,"Business Development",134883,Madalyn_Ad.H@example.com,HYBRID
95-1741371,Jaquith,Adelman,1975-10-19,female,Engineering,105782,Jaquith_Ad.H@example.com,HYBRID
37-4563976,Ophelia,Adenot,1992-04-16,male,Accounting,156743,Ophelia_Ad.H@example.com,HYBRID
32-3628516,Barnabas,Adenot,1967-09-22,male,"Human Resources",95225,Barnabas_Ad.H@example.com,HYBRID
52-0694342,Dana,Adger,1978-02-28,male,Engineering,174226,Dana_Ad.R@example.com,REMOTE
71-7101555,Mildrid,Adhams,1977-02-08,female,"Product Management",169020,Mildrid_Ad.R@example.com,REMOTE
24-2930270,Hector,Adicot,1993-06-06,male,Marketing,145159,Hector_Ad.R@example.com,REMOTE
77-2486932,Charita,Adiscot,1989-07-08,male,Accounting,94404,Charita_Ad.R@example.com,REMOTE
22-0222868,Sabra,Adiscot,1995-06-25,female,"Human Resources",110227,Sabra_Ad.R@example.com,REMOTE
78-9650303,Scotty,Adkin,1997-11-15,female,Engineering,85904,Scotty_Ad.R@example.com,REMOTE
00-0363185,Sandro,Admans,1979-11-19,male,"Product Management",174195,Sandro_Ad.R@example.com,REMOTE
06-3937206,Ludwig,Adnam,1989-01-29,female,Support,117089,Ludwig_Ad.R@example.com,REMOTE
36-9779481,Lindsy,Adnam,1979-06-04,male,Support,154066,Lindsy_Ad.H@example.com,HYBRID
58-5200145,Deeanne,Adne,1966-03-29,male,Engineering,136221,Deeanne_Ad.R@example.com,REMOTE
03-3297312,Almeria,Adney,1983-08-20,female,Engineering,111737,Almeria_Ad.R@example.com,REMOTE
95-0624152,Portia,Adolf,1982-04-03,female,"Business Development",132942,Portia_Ad.R@example.com,REMOTE
40-1654370,Lilyan,Adolfsen,1981-03-15,male,Engineering,137066,Lilyan_Ad.H@example.com,HYBRID
13-4873330,Obie,Adolfsen,1998-12-06,male,Engineering,95880,Obie_Ad.H@example.com,HYBRID
95-2898280,Marcel,Adrain,1972-10-07,female,Training,120809,Marcel_Ad.R@example.com,REMOTE
96-1703888,Stevena,Adriaens,1999-06-14,male,Engineering,173868,Stevena_Ad.R@example.com,REMOTE
65-0889770,Wendye,Adrianello,1979-04-25,male,"Business Development",174871,Wendye_Ad.H@example.com,HYBRID
40-7643653,Eleanora,Adrien,2000-09-19,female,Engineering,107453,Eleanora_Ad.H@example.com,HYBRID
30-4043594,Freeman,Adshad,1974-10-17,female,Engineering,70971,Freeman_Ad.R@example.com,REMOTE
70-4852516,Jasmina,Adshead,1975-01-31,male,Accounting,135798,Jasmina_Ad.H@example.com,HYBRID
65-4709895,Milli,Adshead,1994-06-15,male,"Business Development",86058,Milli_Ad.R@example.com,REMOTE
28-5439484,Tami,Affleck,1993-12-06,female,Accounting,89999,Tami_Af.R@example.com,REMOTE
64-4520110,Gerri,Affron,1987-09-14,male,Training,67536,Gerri_Af.R@example.com,REMOTE
83-5362146,Emma,Agar,1997-01-04,female,"Product Management",171505,Emma_Ag.R@example.com,REMOTE
78-7501899,Mariquilla,Agass,1970-09-24,male,Support,164702,Mariquilla_Ag.H@example.com,HYBRID
67-8751384,Deck,Agastina,1970-06-13,female,Sales,91431,Deck_Ag.H@example.com,HYBRID
98-9395756,Stephanie,Agate,1969-12-11,male,Accounting,115134,Stephanie_Ag.H@example.com,HYBRID
76-2303928,Amalia,Agates,1990-07-21,male,Support,91789,Amalia_Ag.H@example.com,HYBRID
72-4317575,Dollie,Agent,1967-02-18,female,Engineering,130178,Dollie_Ag.R@example.com,REMOTE
47-4812017,Harlene,Agerskow,1997-12-13,female,Engineering,109154,Harlene_Ag.H@example.com,HYBRID
60-8886866,Conny,Agett,1966-12-13,female,Accounting,139107,Conny_Ag.H@example.com,HYBRID
93-4527183,Lexis,Aggas,1979-07-31,male,"Business Development",122292,Lexis_Ag.R@example.com,REMOTE
47-0649921,Bunni,Aggas,1989-04-20,male,Engineering,110792,Bunni_Ag.H@example.com,HYBRID
01-7851887,Sorcha,Agget,1967-06-22,female,Accounting,167529,Sorcha_Ag.R@example.com,REMOTE
52-1868630,Toddy,Agget,1984-06-18,female,Support,100883,Toddy_Ag.R@example.com,REMOTE
76-1431170,Lynn,Agget,1992-08-21,male,Training,110858,Lynn_Ag.H@example.com,HYBRID
27-0973305,Deanne,Aggott,1968-07-07,male,Engineering,107829,Deanne_Ag.H@example.com,HYBRID
76-1030067,Carson,Aggs,1992-11-20,female,Accounting,160109,Carson_Ag.H@example.com,HYBRID
31-0270355,Joey,Agney,1977-03-08,female,Support,144558,Joey_Ag.H@example.com,HYBRID
89-1495667,Fremont,Aguirre,1979-10-12,male,Sales,125176,Fremont_Ag.R@example.com,REMOTE
20-7862953,Jeanine,Agus,1985-12-06,female,Training,66900,Jeanine_Ag.H@example.com,HYBRID
72-9646541,Damara,Ahern,1968-05-07,male,Services,156049,Damara_Ah.H@example.com,HYBRID
23-4134439,Tabby,Aherne,1980-01-30,male,Engineering,135980,Tabby_Ah.H@example.com,HYBRID
51-3991920,Nora,Ahlin,1988-08-29,female,"Human Resources",81878,Nora_Ah.H@example.com,HYBRID
40-2289921,Matti,Ahmad,1975-11-28,male,Support,167847,Matti_Ah.R@example.com,REMOTE
48-8372206,Perrine,Ahmed,1992-01-09,male,Services,97288,Perrine_Ah.R@example.com,REMOTE
23-3922685,Lotti,Ahrend,1983-04-27,male,Accounting,79095,Lotti_Ah.H@example.com,HYBRID
06-1925017,Dulce,Ahrenius,1978-11-29,male,Engineering,76853,Dulce_Ah.R@example.com,REMOTE
81-3991714,Barth,Ahrenius,1989-12-30,female,Engineering,110358,Barth_Ah.H@example.com,HYBRID
55-2041334,Adham,Ahrens,1982-03-29,male,Legal,163119,Adham_Ah.R@example.com,REMOTE
99-3119725,Emma,Aikman,1973-01-05,male,"Human Resources",66514,Emma_Ai.R@example.com,REMOTE
35-9454369,Agace,Ailward,1986-09-10,female,"Business Development",97493,Agace_Ai.R@example.com,REMOTE
02-3640881,Gardener,Aim,1968-05-20,male,Engineering,105183,Gardener_Ai.H@example.com,HYBRID
72-6333083,Nicki,Aimable,1983-02-25,female,Services,68676,Nicki_Ai.H@example.com,HYBRID
15-6583103,Abagael,Aindrais,1988-05-26,male,Accounting,173307,Abagael_Ai.R@example.com,REMOTE
44-5974217,Caterina,Aingel,1968-08-01,female,Engineering,111116,Caterina_Ai.H@example.com,HYBRID
48-1130899,Jerri,Aingel,1989-06-05,male,"Human Resources",104166,Jerri_Ai.H@example.com,HYBRID
45-1049788,Hugibert,Aingell,1969-03-09,female,Engineering,184585,Hugibert_Ai.H@example.com,HYBRID
72-1956996,Jedd,Ainsby,1980-08-12,female,Training,123176,Jedd_Ai.H@example.com,HYBRID
18-8240189,Saxe,Ainscow,1987-02-07,male,Engineering,147175,Saxe_Ai.R@example.com,REMOTE
51-5485911,Allix,Ainscow,1980-11-11,male,Sales,127589,Allix_Ai.H@example.com,HYBRID
09-0562266,Ev,Ainscow,1972-04-28,male,Training,162746,Ev_Ai.H@example.com,HYBRID
04-6380002,Ichabod,Ainsley,1971-02-13,male,Services,162637,Ichabod_Ai.H@example.com,HYBRID
21-9082785,Curtice,Ainsworth,1966-09-29,male,Engineering,78562,Curtice_Ai.R@example.com,REMOTE
26-9296107,Spenser,Aird,2000-07-14,male,"Human Resources",103669,Spenser_Ai.R@example.com,REMOTE
52-5356142,Daron,Aireton,1993-09-18,female,Sales,183620,Daron_Ai.H@example.com,HYBRID
38-9621354,Estele,Airey,1972-07-13,female,Engineering,116302,Estele_Ai.H@example.com,HYBRID
45-7078672,Xavier,Airlie,1985-05-04,male,Engineering,88292,Xavier_Ai.H@example.com,HYBRID
13-4632056,Nathanil,Airth,1998-02-06,female,Accounting,88087,Nathanil_Ai.H@example.com,HYBRID
26-6390018,Midge,Aish,1998-04-04,male,Engineering,151010,Midge_Ai.H@example.com,HYBRID
63-5040284,Pepito,Aish,1987-12-02,male,Training,134921,Pepito_Ai.H@example.com,HYBRID
25-4311953,Angel,Aiskrigg,2001-06-19,female,Engineering,148146,Angel_Ai.H@example.com,HYBRID
72-9977341,Shelton,Aisman,1979-06-20,female,Sales,180557,Shelton_Ai.H@example.com,HYBRID
70-0944003,Lexy,Aisthorpe,1984-12-18,female,Accounting,95740,Lexy_Ai.H@example.com,HYBRID
12-0821958,Fergus,Aisthorpe,1987-02-10,male,Services,158555,Fergus_Ai.H@example.com,HYBRID
65-8208232,Burtie,Aitcheson,1974-01-31,male,Sales,149716,Burtie_Ai.R@example.com,REMOTE
41-5468169,Kermit,Aitcheson,1979-03-14,male,Services,172165,Kermit_Ai.H@example.com,HYBRID
71-5731809,Mahala,Aitchinson,1986-03-25,female,Accounting,127406,Mahala_Ai.R@example.com,REMOTE
56-0540627,Belia,Aitken,1970-08-11,female,"Business Development",65538,Belia_Ai.R@example.com,REMOTE
70-0038244,Gonzales,Aitkin,1985-03-19,female,Accounting,129344,Gonzales_Ai.H@example.com,HYBRID
37-3997375,Ame,Aizik,1991-12-31,female,Accounting,77105,Ame_Ai.R@example.com,REMOTE
88-9154251,Paulie,Aizikov,1998-04-16,female,Accounting,79968,Paulie_Ai.R@example.com,REMOTE
87-4647463,Adore,Aizikovich,1976-04-05,male,Engineering,127607,Adore_Ai.R@example.com,REMOTE
93-8905062,Jemmie,Aizikowitz,1999-06-13,male,Engineering,123475,Jemmie_Ai.H@example.com,HYBRID
12-6229090,Janka,Aizlewood,1979-01-14,male,Engineering,92446,Janka_Ai.R@example.com,REMOTE
44-1095746,Stephana,Ajam,2002-03-29,male,"Business Development",177294,Stephana_Aj.R@example.com,REMOTE
93-1896967,Vania,Ajam,1989-06-07,female,Sales,142146,Vania_Aj.R@example.com,REMOTE
25-4744432,Cherry,Ajean,1990-03-01,female,Engineering,106402,Cherry_Aj.R@example.com,REMOTE
27-0498231,Ofelia,Akam,1980-10-03,female,"Business Development",93228,Ofelia_Ak.H@example.com,HYBRID
69-5391026,Misty,Akam,1968-03-11,female,"Research and Development",87294,Misty_Ak.H@example.com,HYBRID
41-5955863,Susanetta,Aked,1984-12-09,female,Sales,156981,Susanetta_Ak.R@example.com,REMOTE
58-6727791,Wylie,Akid,1971-03-07,male,Accounting,143989,Wylie_Ak.R@example.com,REMOTE
96-1156732,Karlee,Aksell,1992-02-25,female,"Product Management",135178,Karlee_Ak.R@example.com,REMOTE
94-0780445,Feliza,Alam,1992-11-14,female,Training,126316,Feliza_Al.R@example.com,REMOTE
25-9752368,Cloe,Alanbrooke,1974-04-28,male,Engineering,151261,Cloe_Al.H@example.com,HYBRID
97-8940276,Lilly,Alasdair,1989-06-03,male,Services,141486,Lilly_Al.H@example.com,HYBRID
36-2913983,Thorstein,Alastair,1993-07-08,female,Accounting,65302,Thorstein_Al.R@example.com,REMOTE
14-1624229,Paxon,Alastair,1999-06-22,male,"Business Development",136497,Paxon_Al.R@example.com,REMOTE
53-5087817,Mattheus,Albarez,1982-01-24,male,"Business Development",179442,Mattheus_Al.H@example.com,HYBRID
54-3495084,Clemmy,Albasiny,1984-06-15,female,"Research and Development",174516,Clemmy_Al.R@example.com,REMOTE
70-6995708,Tiphani,Alben,1992-03-27,male,"Business Development",69216,Tiphani_Al.R@example.com,REMOTE
02-4662188,Yoshi,Alben,1995-05-09,female,Engineering,124172,Yoshi_Al.H@example.com,HYBRID
26-5829469,Hermy,Alben,1985-02-04,male,Engineering,107035,Hermy_Al.R@example.com,REMOTE
70-0738365,Raychel,Albertson,1996-08-15,male,Engineering,158920,Raychel_Al.R@example.com,REMOTE
13-4999519,Ciel,Albrecht,1975-10-25,female,Engineering,112146,Ciel_Al.H@example.com,HYBRID
05-5799851,Bink,Albrighton,1990-09-02,male,"Business Development",136874,Bink_Al.R@example.com,REMOTE
13-2948741,Stavro,Albrook,1978-06-09,female,"Business Development",126951,Stavro_Al.H@example.com,HYBRID
15-7180058,Alta,Albury,1970-05-05,male,Engineering,140332,Alta_Al.R@example.com,REMOTE
91-7403556,Trueman,Alcide,1981-06-09,male,Accounting,177494,Trueman_Al.H@example.com,HYBRID
41-0764940,Chester,Alcock,1975-11-24,male,"Business Development",80693,Chester_Al.R@example.com,REMOTE
27-4605905,Bel,Alcock,1983-07-10,female,Training,180153,Bel_Al.R@example.com,REMOTE
13-2001607,Ad,Alcoran,1993-10-03,female,Accounting,68223,Ad_Al.H@example.com,HYBRID
26-3724947,Shurlock,Alcoran,2000-11-09,male,Support,165334,Shurlock_Al.H@example.com,HYBRID
50-7039233,Liam,Alcott,1976-08-28,male,"Business Development",75043,Liam_Al.R@example.com,REMOTE
58-2293872,Raddy,Alcott,1967-07-03,male,"Business Development",161812,Raddy_Al.R@example.com,REMOTE
54-8289666,Tabbie,Alder,1970-01-09,female,Accounting,141530,Tabbie_Al.H@example.com,HYBRID
90-3450760,Jobey,Alderman,1980-08-20,male,"Business Development",137256,Jobey_Al.R@example.com,REMOTE
71-7118852,Sunshine,Alderwick,1973-11-20,male,Engineering,126085,Sunshine_Al.H@example.com,HYBRID
33-4224349,Rosemonde,Aldhouse,1971-10-01,female,Accounting,120116,Rosemonde_Al.H@example.com,HYBRID
19-2606766,Delano,Aldhouse,1997-10-26,female,Engineering,73090,Delano_Al.R@example.com,REMOTE
47-9346041,Iolande,Aldiss,1998-02-01,female,Engineering,69691,Iolande_Al.R@example.com,REMOTE
61-8938986,Leontine,Aldred,1984-08-05,female,Engineering,92092,Leontine_Al.R@example.com,REMOTE
10-2026451,Dolly,Aldrich,1975-07-30,female,Services,139401,Dolly_Al.R@example.com,REMOTE
87-1802816,Mose,Aldrick,1973-08-29,female,Engineering,152560,Mose_Al.R@example.com,REMOTE
22-1806015,Heidi,Aldwick,1965-10-19,female,Engineering,165604,Heidi_Al.H@example.com,HYBRID
36-1603100,Erl,Aldwinckle,1969-05-18,female,Sales,69414,Erl_Al.R@example.com,REMOTE
70-2014300,Bobbe,Aleavy,1982-09-09,male,"Business Development",103286,Bobbe_Al.H@example.com,HYBRID
18-1904803,Cindra,Aleavy,1985-01-26,female,Engineering,169091,Cindra_Al.R@example.com,REMOTE
92-0979286,Alla,Alecock,1972-08-23,male,Engineering,109314,Alla_Al.R@example.com,REMOTE
15-9751742,Horacio,Alejandro,2001-12-02,female,"Product Management",71175,Horacio_Al.H@example.com,HYBRID
69-3687112,Harrison,Alekhov,1983-01-21,female,Accounting,105339,Harrison_Al.R@example.com,REMOTE
02-8608961,Harris,Alekhov,1973-05-15,male,Accounting,148372,Harris_Al.R@example.com,REMOTE
96-9461126,Reube,Alekhov,1982-05-06,male,Engineering,110336,Reube_Al.R@example.com,REMOTE
92-3693084,Dulce,Aleksahkin,1993-07-31,male,Sales,72369,Dulce_Al.H@example.com,HYBRID
14-6080897,Dorelle,Aleksandrov,1997-01-26,female,"Research and Development",73160,Dorelle_Al.R@example.com,REMOTE
60-0005159,Farrell,Alekseev,1972-05-20,female,Engineering,154458,Farrell_Al.R@example.com,REMOTE
83-0012665,Roseanne,Aleksic,1997-01-07,female,Accounting,139545,Roseanne_Al.H@example.com,HYBRID
19-1011134,Darrell,Aleksic,1980-08-31,male,Services,149288,Darrell_Al.H@example.com,HYBRID
88-0955849,Jone,Alelsandrovich,1991-11-08,female,Services,73897,Jone_Al.R@example.com,REMOTE
10-6709773,Alejandrina,Alen,1974-02-24,male,Services,99666,Alejandrina_Al.R@example.com,REMOTE
72-4473234,Corissa,Alenichicov,1968-06-29,male,Engineering,120317,Corissa_Al.R@example.com,REMOTE
20-5774606,Stan,Alenikov,1984-08-21,male,Engineering,121743,Stan_Al.H@example.com,HYBRID
91-3748696,Mikkel,Alenin,2000-09-20,male,Services,94565,Mikkel_Al.R@example.com,REMOTE
46-3232862,Bradford,Alenshev,1979-05-12,female,Training,140488,Bradford_Al.H@example.com,HYBRID
36-4902974,Gerik,Ales0,1991-08-04,female,"Human Resources",171452,Gerik_Al.R@example.com,REMOTE
00-1499371,Claude,Ales0,1984-04-29,female,Sales,126534,Claude_Al.R@example.com,REMOTE
97-2740343,Sherry,Alesbrook,1995-11-17,female,Support,88617,Sherry_Al.R@example.com,REMOTE
